date_administered,vaccines
4/23/2022,124
4/24/2022,65
4/25/2022,178
4/26/2022,205
4/27/2022,197
4/28/2022,185
4/29/2022,205
4/30/2022,105
5/1/2022,71
5/2/2022,204
5/3/2022,147
5/4/2022,187
5/5/2022,180
5/6/2022,190
5/7/2022,113
5/8/2022,66
5/9/2022,178
5/10/2022,165
5/11/2022,219
5/12/2022,169
5/13/2022,223
5/14/2022,126
5/15/2022,64
5/16/2022,193
5/17/2022,182
5/18/2022,180
5/19/2022,172
5/20/2022,242
5/21/2022,138
5/22/2022,78
5/23/2022,208
5/24/2022,169
5/25/2022,218
5/26/2022,186
5/27/2022,201
5/28/2022,112
5/29/2022,64
5/30/2022,16
5/31/2022,213
6/1/2022,187
6/2/2022,176
6/3/2022,233
6/4/2022,135
6/5/2022,62
6/6/2022,188
6/7/2022,161
6/8/2022,150
6/9/2022,173
6/10/2022,237
6/11/2022,111
6/12/2022,45
6/13/2022,162
6/14/2022,125
6/15/2022,158
6/16/2022,159
6/17/2022,208
6/18/2022,69
6/19/2022,48
6/20/2022,113
6/21/2022,197
6/22/2022,370
6/23/2022,535
6/24/2022,881
6/25/2022,707
6/26/2022,127
6/27/2022,600
6/28/2022,583
6/29/2022,545
6/30/2022,525
7/1/2022,615
7/2/2022,232
7/3/2022,55
7/4/2022,77
7/5/2022,453
7/6/2022,384
7/7/2022,414
7/8/2022,592
7/9/2022,148
7/10/2022,57
7/11/2022,329
7/12/2022,383
7/13/2022,349
7/14/2022,392
7/15/2022,668
7/16/2022,288
7/17/2022,97
7/18/2022,388
7/19/2022,415
7/20/2022,424
7/21/2022,491
7/22/2022,849
7/23/2022,508
7/24/2022,87
7/25/2022,568
7/26/2022,499
7/27/2022,454
7/28/2022,487
7/29/2022,767
7/30/2022,295
7/31/2022,64
8/1/2022,403
8/2/2022,397
8/3/2022,368
8/4/2022,405
8/5/2022,636
8/6/2022,237
8/7/2022,50
8/8/2022,390
8/9/2022,402
8/10/2022,371
8/11/2022,334
8/12/2022,710
8/13/2022,167
8/14/2022,49
8/15/2022,351
8/16/2022,354
8/17/2022,329
8/18/2022,319
8/19/2022,551
8/20/2022,162
8/21/2022,38
8/22/2022,297
8/23/2022,301
8/24/2022,339
8/25/2022,310
8/26/2022,492
8/27/2022,133
8/28/2022,41
8/29/2022,244
8/30/2022,263
8/31/2022,212
9/1/2022,212
9/2/2022,390
9/3/2022,74
9/4/2022,9
9/5/2022,9
9/6/2022,194
9/7/2022,178
9/8/2022,166
9/9/2022,331
9/10/2022,90
9/11/2022,14
9/12/2022,151
9/13/2022,150
9/14/2022,166
9/15/2022,160
9/16/2022,326
9/17/2022,53
9/18/2022,10
9/19/2022,158
9/20/2022,147
9/21/2022,127
9/22/2022,172
9/23/2022,276
9/24/2022,40
9/25/2022,10
9/26/2022,118
9/27/2022,136
9/28/2022,134
9/29/2022,98
9/30/2022,204
10/1/2022,46
10/2/2022,14
10/3/2022,122
10/4/2022,105
10/5/2022,87
10/6/2022,93
10/7/2022,152
10/8/2022,44
10/9/2022,3
10/10/2022,78
10/11/2022,75
10/12/2022,97
10/13/2022,85
10/14/2022,155
10/15/2022,28
10/16/2022,8
10/17/2022,63
10/18/2022,88
10/19/2022,77
10/20/2022,97
10/21/2022,171
10/22/2022,32
10/23/2022,6
10/24/2022,106
10/25/2022,91
10/26/2022,89
10/27/2022,111
10/28/2022,165
10/29/2022,38
10/30/2022,4
10/31/2022,54
11/1/2022,83
11/2/2022,95
11/3/2022,101
11/4/2022,156
11/5/2022,47
11/6/2022,7
11/7/2022,83
11/8/2022,79
11/9/2022,76
11/10/2022,89
11/11/2022,137
11/12/2022,37
11/13/2022,5
11/14/2022,84
11/15/2022,101
11/16/2022,93
11/17/2022,123
11/18/2022,156
11/19/2022,37
11/20/2022,4
11/21/2022,100
11/22/2022,85
11/23/2022,108
11/24/2022,2
11/25/2022,28
11/26/2022,47
11/27/2022,0
11/28/2022,129
11/29/2022,108
11/30/2022,136
12/1/2022,82
12/2/2022,163
12/3/2022,49
12/4/2022,5
12/5/2022,112
12/6/2022,99
12/7/2022,108
12/8/2022,95
12/9/2022,189
12/10/2022,20
12/11/2022,2
12/12/2022,108
12/13/2022,86
12/14/2022,103
12/15/2022,125
12/16/2022,157
12/17/2022,27
12/18/2022,8
12/19/2022,114
12/20/2022,92
12/21/2022,87
12/22/2022,76
12/23/2022,90
12/24/2022,2
12/25/2022,1
12/26/2022,17
12/27/2022,63
12/28/2022,67
12/29/2022,77
12/30/2022,104
12/31/2022,0
1/1/2023,0
1/2/2023,23
1/3/2023,89
1/4/2023,54
1/5/2023,63
1/6/2023,137
1/7/2023,28
1/8/2023,7
1/9/2023,83
1/10/2023,65
1/11/2023,102
1/12/2023,73
1/13/2023,142
1/14/2023,19
1/15/2023,3
1/16/2023,39
1/17/2023,61
1/18/2023,84
1/19/2023,101
1/20/2023,124
1/21/2023,19
1/22/2023,5
1/23/2023,60
1/24/2023,72
1/25/2023,61
1/26/2023,68
1/27/2023,109
1/28/2023,26
1/29/2023,5
1/30/2023,62
1/31/2023,66
2/1/2023,65
2/2/2023,55
2/3/2023,81
2/4/2023,21
2/5/2023,2
2/6/2023,37
2/7/2023,53
2/8/2023,58
2/9/2023,90
2/10/2023,83
2/11/2023,36
2/12/2023,6
2/13/2023,64
2/14/2023,45
2/15/2023,63
2/16/2023,57
2/17/2023,96
2/18/2023,18
2/19/2023,4
2/20/2023,8
2/21/2023,49
2/22/2023,62
2/23/2023,60
2/24/2023,89
2/25/2023,17
2/26/2023,2
2/27/2023,49
2/28/2023,45
3/1/2023,69
3/2/2023,52
3/3/2023,59
3/4/2023,21
3/5/2023,1
3/6/2023,45
3/7/2023,43
3/8/2023,52
3/9/2023,47
3/10/2023,76
3/11/2023,10
3/12/2023,2
3/13/2023,40
3/14/2023,54
3/15/2023,62
3/16/2023,54
3/17/2023,68
3/18/2023,20
3/19/2023,2
3/20/2023,29
3/21/2023,53
3/22/2023,47
3/23/2023,47
3/24/2023,58
3/25/2023,14
3/26/2023,2
3/27/2023,55
3/28/2023,30
3/29/2023,50
3/30/2023,47
3/31/2023,61
4/1/2023,21
4/2/2023,2
4/3/2023,35
4/4/2023,38
4/5/2023,41
4/6/2023,59
4/7/2023,57
4/8/2023,15
4/9/2023,1
4/10/2023,45
4/11/2023,31
4/12/2023,35
4/13/2023,48
4/14/2023,55
4/15/2023,15
4/16/2023,3
4/17/2023,44
4/18/2023,28
4/19/2023,7
4/20/2023,7
4/21/2023,2
4/22/2023,0
4/23/2023,0
4/24/2023,3
4/25/2023,1
4/26/2023,2
4/27/2023,1
4/28/2023,5
4/29/2023,2
4/30/2023,0
5/1/2023,3
5/2/2023,1
5/3/2023,2
5/4/2023,2
5/5/2023,0
5/6/2023,0
5/7/2023,0
5/8/2023,2
5/9/2023,1
5/10/2023,0
5/11/2023,0
5/12/2023,2
5/13/2023,0
5/14/2023,0
5/15/2023,3
5/16/2023,0
5/17/2023,0
5/18/2023,2
5/19/2023,0
5/20/2023,0
5/21/2023,0
5/22/2023,2
5/23/2023,7
5/24/2023,0
5/25/2023,1
5/26/2023,3
5/27/2023,0
5/28/2023,0
5/29/2023,0
5/30/2023,1
5/31/2023,2
6/1/2023,0
6/2/2023,1
6/3/2023,0
6/4/2023,1
6/5/2023,0
6/6/2023,1
6/7/2023,0
6/8/2023,0
6/9/2023,1
6/10/2023,0
6/11/2023,0
6/12/2023,1
6/13/2023,2
6/14/2023,0
6/15/2023,2
6/16/2023,0
6/17/2023,0
6/18/2023,0
6/19/2023,0
6/20/2023,1
6/21/2023,0
6/22/2023,0
6/23/2023,0
6/24/2023,0
6/25/2023,0
6/26/2023,1
6/27/2023,0
6/28/2023,0
6/29/2023,0
6/30/2023,0
7/1/2023,0
7/2/2023,0
7/3/2023,0
7/4/2023,0
7/5/2023,1
7/6/2023,0
7/7/2023,0
7/8/2023,0
7/9/2023,0
7/10/2023,0
7/11/2023,0
7/12/2023,1
7/13/2023,0
7/14/2023,0
7/15/2023,0
7/16/2023,0
7/17/2023,0
7/18/2023,0
7/19/2023,0
7/20/2023,2
7/21/2023,0
7/22/2023,0
7/23/2023,0
7/24/2023,0
7/25/2023,0
7/26/2023,2
7/27/2023,1
7/28/2023,1
7/29/2023,1
7/30/2023,0
7/31/2023,0
8/1/2023,0
8/2/2023,1
8/3/2023,0
8/4/2023,0
8/5/2023,2
8/6/2023,0
8/7/2023,0
8/8/2023,0
8/9/2023,0
8/10/2023,1
8/11/2023,0
8/12/2023,0
8/13/2023,0
8/14/2023,0
8/15/2023,0
8/16/2023,0
8/17/2023,1
8/18/2023,1
8/19/2023,0
8/20/2023,0
8/21/2023,0
8/22/2023,1
8/23/2023,0
8/24/2023,0
8/25/2023,0
8/26/2023,0
8/27/2023,0
8/28/2023,0
8/29/2023,0
8/30/2023,0
8/31/2023,0
9/1/2023,0
9/2/2023,0
9/3/2023,0
9/4/2023,0
9/5/2023,0
9/6/2023,1
9/7/2023,0
9/8/2023,0
9/9/2023,0
9/10/2023,0
9/11/2023,0
9/12/2023,0
9/13/2023,0
9/14/2023,0
9/15/2023,0
9/16/2023,0
9/17/2023,0
9/18/2023,0
9/19/2023,0
9/20/2023,0
9/21/2023,0
9/22/2023,0
9/23/2023,0
9/24/2023,0
9/25/2023,2
9/26/2023,0
9/27/2023,0
9/28/2023,0
9/29/2023,0
9/30/2023,0
10/1/2023,0
10/2/2023,0
10/3/2023,0
10/4/2023,0
10/5/2023,0
10/6/2023,0
10/7/2023,0
10/8/2023,0
10/9/2023,1
10/10/2023,1
10/11/2023,0
10/12/2023,0
10/13/2023,0
10/14/2023,2
10/15/2023,0
10/16/2023,0
10/17/2023,1
10/18/2023,0
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,0
10/25/2023,0
10/26/2023,0
10/27/2023,0
10/28/2023,0
10/29/2023,0
10/30/2023,0
10/31/2023,1
12/11/2020,0
12/12/2020,0
12/13/2020,0
12/14/2020,0
12/15/2020,2
12/16/2020,42
12/17/2020,82
12/18/2020,122
12/19/2020,54
12/20/2020,3
12/21/2020,189
12/22/2020,267
12/23/2020,272
12/24/2020,238
12/25/2020,0
12/26/2020,41
12/27/2020,3
12/28/2020,267
12/29/2020,310
12/30/2020,260
12/31/2020,258
1/1/2021,6
1/2/2021,96
1/3/2021,4
1/4/2021,451
1/5/2021,552
1/6/2021,221
1/7/2021,237
1/8/2021,284
1/9/2021,93
1/10/2021,4
1/11/2021,306
1/12/2021,507
1/13/2021,672
1/14/2021,618
1/15/2021,588
1/16/2021,347
1/17/2021,331
1/18/2021,292
1/19/2021,695
1/20/2021,750
1/21/2021,843
1/22/2021,738
1/23/2021,939
1/24/2021,685
1/25/2021,1362
1/26/2021,1281
1/27/2021,748
1/28/2021,751
1/29/2021,837
1/30/2021,603
1/31/2021,235
2/1/2021,900
2/2/2021,951
2/3/2021,1327
2/4/2021,1065
2/5/2021,1298
2/6/2021,950
2/7/2021,505
2/8/2021,1050
2/9/2021,900
2/10/2021,922
2/11/2021,784
2/12/2021,1021
2/13/2021,572
2/14/2021,635
2/15/2021,486
2/16/2021,926
2/17/2021,824
2/18/2021,1173
2/19/2021,1553
2/20/2021,1610
2/21/2021,1147
2/22/2021,1684
2/23/2021,1530
2/24/2021,1545
2/25/2021,1732
2/26/2021,1945
2/27/2021,1730
2/28/2021,1244
3/1/2021,2062
3/2/2021,1838
3/3/2021,2192
3/4/2021,1547
3/5/2021,1508
3/6/2021,1487
3/7/2021,1159
3/8/2021,1369
3/9/2021,1679
3/10/2021,1729
3/11/2021,1743
3/12/2021,2053
3/13/2021,1738
3/14/2021,1382
3/15/2021,1703
3/16/2021,1811
3/17/2021,1699
3/18/2021,1633
3/19/2021,1803
3/20/2021,1643
3/21/2021,1119
3/22/2021,1890
3/23/2021,1714
3/24/2021,1944
3/25/2021,2088
3/26/2021,1989
3/27/2021,2023
3/28/2021,1416
3/29/2021,2200
3/30/2021,2215
3/31/2021,2230
4/1/2021,2303
4/2/2021,2570
4/3/2021,2215
4/4/2021,1457
4/5/2021,2288
4/6/2021,2225
4/7/2021,2098
4/8/2021,1985
4/9/2021,2963
4/10/2021,2736
4/11/2021,2124
4/12/2021,2440
4/13/2021,2259
4/14/2021,2502
4/15/2021,2300
4/16/2021,2589
4/17/2021,2229
4/18/2021,1247
4/19/2021,1963
4/20/2021,1730
4/21/2021,1507
4/22/2021,1590
4/23/2021,1740
4/24/2021,1726
4/25/2021,778
4/26/2021,1308
4/27/2021,1301
4/28/2021,1287
4/29/2021,1297
4/30/2021,1924
5/1/2021,2060
5/2/2021,1427
5/3/2021,1810
5/4/2021,1621
5/5/2021,1606
5/6/2021,1554
5/7/2021,1873
5/8/2021,1491
5/9/2021,841
5/10/2021,1154
5/11/2021,1177
5/12/2021,1114
5/13/2021,1242
5/14/2021,1262
5/15/2021,1158
5/16/2021,172
5/17/2021,972
5/18/2021,857
5/19/2021,703
5/20/2021,832
5/21/2021,817
5/22/2021,826
5/23/2021,92
5/24/2021,617
5/25/2021,613
5/26/2021,510
5/27/2021,611
5/28/2021,636
5/29/2021,640
5/30/2021,64
5/31/2021,7
6/1/2021,682
6/2/2021,395
6/3/2021,571
6/4/2021,711
6/5/2021,712
6/6/2021,86
6/7/2021,572
6/8/2021,440
6/9/2021,411
6/10/2021,396
6/11/2021,469
6/12/2021,487
6/13/2021,36
6/14/2021,355
6/15/2021,385
6/16/2021,341
6/17/2021,324
6/18/2021,473
6/19/2021,251
6/20/2021,46
6/21/2021,206
6/22/2021,327
6/23/2021,271
6/24/2021,318
6/25/2021,418
6/26/2021,230
6/27/2021,32
6/28/2021,321
6/29/2021,271
6/30/2021,233
7/1/2021,290
7/2/2021,354
7/3/2021,154
7/4/2021,3
7/5/2021,12
7/6/2021,348
7/7/2021,242
7/8/2021,239
7/9/2021,293
7/10/2021,110
7/11/2021,6
7/12/2021,275
7/13/2021,189
7/14/2021,220
7/15/2021,203
7/16/2021,261
7/17/2021,121
7/18/2021,7
7/19/2021,256
7/20/2021,199
7/21/2021,217
7/22/2021,255
7/23/2021,259
7/24/2021,111
7/25/2021,11
7/26/2021,176
7/27/2021,226
7/28/2021,223
7/29/2021,255
7/30/2021,267
7/31/2021,114
8/1/2021,9
8/2/2021,261
8/3/2021,217
8/4/2021,234
8/5/2021,231
8/6/2021,261
8/7/2021,113
8/8/2021,2
8/9/2021,259
8/10/2021,213
8/11/2021,254
8/12/2021,294
8/13/2021,300
8/14/2021,174
8/15/2021,27
8/16/2021,247
8/17/2021,236
8/18/2021,189
8/19/2021,252
8/20/2021,321
8/21/2021,218
8/22/2021,14
8/23/2021,233
8/24/2021,245
8/25/2021,204
8/26/2021,292
8/27/2021,267
8/28/2021,210
8/29/2021,5
8/30/2021,229
8/31/2021,201
9/1/2021,219
9/2/2021,229
9/3/2021,258
9/4/2021,194
9/5/2021,4
9/6/2021,8
9/7/2021,225
9/8/2021,170
9/9/2021,255
9/10/2021,284
9/11/2021,146
9/12/2021,12
9/13/2021,181
9/14/2021,182
9/15/2021,176
9/16/2021,196
9/17/2021,220
9/18/2021,163
9/19/2021,8
9/20/2021,160
9/21/2021,135
9/22/2021,131
9/23/2021,164
9/24/2021,192
9/25/2021,150
9/26/2021,10
9/27/2021,124
9/28/2021,144
9/29/2021,176
9/30/2021,164
10/1/2021,205
10/2/2021,65
10/3/2021,8
10/4/2021,115
10/5/2021,140
10/6/2021,99
10/7/2021,133
10/8/2021,129
10/9/2021,59
10/10/2021,6
10/11/2021,48
10/12/2021,112
10/13/2021,107
10/14/2021,124
10/15/2021,138
10/16/2021,46
10/17/2021,4
10/18/2021,143
10/19/2021,93
10/20/2021,90
10/21/2021,139
10/22/2021,115
10/23/2021,44
10/24/2021,4
10/25/2021,100
10/26/2021,109
10/27/2021,80
10/28/2021,118
10/29/2021,125
10/30/2021,61
10/31/2021,4
11/1/2021,89
11/2/2021,104
11/3/2021,84
11/4/2021,109
11/5/2021,221
11/6/2021,308
11/7/2021,6
11/8/2021,223
11/9/2021,162
11/10/2021,181
11/11/2021,197
11/12/2021,264
11/13/2021,278
11/14/2021,3
11/15/2021,150
11/16/2021,111
11/17/2021,125
11/18/2021,136
11/19/2021,242
11/20/2021,158
11/21/2021,4
11/22/2021,206
11/23/2021,186
11/24/2021,153
11/25/2021,6
11/26/2021,4
11/27/2021,159
11/28/2021,6
11/29/2021,288
11/30/2021,213
12/1/2021,247
12/2/2021,303
12/3/2021,393
12/4/2021,263
12/5/2021,1
12/6/2021,254
12/7/2021,166
12/8/2021,217
12/9/2021,210
12/10/2021,314
12/11/2021,260
12/12/2021,8
12/13/2021,243
12/14/2021,152
12/15/2021,161
12/16/2021,168
12/17/2021,210
12/18/2021,227
12/19/2021,1
12/20/2021,202
12/21/2021,205
12/22/2021,180
12/23/2021,158
12/24/2021,104
12/25/2021,3
12/26/2021,0
12/27/2021,300
12/28/2021,176
12/29/2021,189
12/30/2021,261
12/31/2021,161
1/1/2022,6
1/2/2022,1
1/3/2022,177
1/4/2022,142
1/5/2022,209
1/6/2022,265
1/7/2022,309
1/8/2022,237
1/9/2022,1
1/10/2022,182
1/11/2022,178
1/12/2022,147
1/13/2022,144
1/14/2022,181
1/15/2022,83
1/16/2022,1
1/17/2022,102
1/18/2022,116
1/19/2022,117
1/20/2022,120
1/21/2022,207
1/22/2022,74
1/23/2022,2
1/24/2022,123
1/25/2022,89
1/26/2022,129
1/27/2022,116
1/28/2022,169
1/29/2022,81
1/30/2022,3
1/31/2022,103
2/1/2022,111
2/2/2022,95
2/3/2022,76
2/4/2022,154
2/5/2022,52
2/6/2022,2
2/7/2022,93
2/8/2022,84
2/9/2022,89
2/10/2022,70
2/11/2022,126
2/12/2022,66
2/13/2022,0
2/14/2022,64
2/15/2022,77
2/16/2022,73
2/17/2022,58
2/18/2022,107
2/19/2022,32
2/20/2022,1
2/21/2022,23
2/22/2022,49
2/23/2022,67
2/24/2022,50
2/25/2022,75
2/26/2022,28
2/27/2022,2
2/28/2022,57
3/1/2022,54
3/2/2022,51
3/3/2022,43
3/4/2022,75
3/5/2022,23
3/6/2022,1
3/7/2022,52
3/8/2022,32
3/9/2022,37
3/10/2022,48
3/11/2022,80
